PID       PROCESS NAME                       STATUS
9844  ::: chrome.exe                     --> running
9864  ::: RuntimeBroker.exe              --> running
9988  ::: svchost.exe                    --> running
10088 ::: Code.exe                       --> running
10372 ::: chrome.exe                     --> running
10488 ::: Widgets.exe                    --> running
10564 ::: ShellExperienceHost.exe        --> running
10632 ::: POWERPNT.EXE                   --> running
10640 ::: chrome.exe                     --> running
10768 ::: svchost.exe                    --> running
11092 ::: YourPhone.exe                  --> stopped
11348 ::: chrome.exe                     --> running
11376 ::: chrome.exe                     --> running
11392 ::: chrome.exe                     --> running
11564 ::: ctfmon.exe                     --> running
11576 ::: SystemSettingsBroker.exe       --> running
11580 ::: svchost.exe                    --> running
11696 ::: msedgewebview2.exe             --> running
11800 ::: svchost.exe                    --> running
11860 ::: svchost.exe                    --> running
11896 ::: SystemSettings.exe             --> stopped
12108 ::: Code.exe                       --> running
12264 ::: dllhost.exe                    --> running
12280 ::: svchost.exe                    --> running
12304 ::: Code.exe                       --> running
12396 ::: RadeonSoftware.exe             --> running
12468 ::: WINWORD.EXE                    --> running
12524 ::: ApplicationFrameHost.exe       --> running
12956 ::: Code.exe                       --> running
13112 ::: chrome.exe                     --> running
13148 ::: svchost.exe                    --> running
13180 ::: winlogon.exe                   --> running
13232 ::: RuntimeBroker.exe              --> running
13236 ::: chrome.exe                     --> running
13280 ::: UserOOBEBroker.exe             --> running
13636 ::: chrome.exe                     --> running
13708 ::: cmd.exe                        --> running
13772 ::: python3.8.exe                  --> running
13804 ::: conhost.exe                    --> running
14628 ::: cmd.exe                        --> running
14880 ::: Code.exe                       --> running
14976 ::: svchost.exe                    --> running
15124 ::: chrome.exe                     --> running
15352 ::: cmd.exe                        --> running
15404 ::: msedgewebview2.exe             --> running
15468 ::: chrome.exe                     --> running
15492 ::: conhost.exe                    --> running
15636 ::: Code.exe                       --> running
15692 ::: svchost.exe                    --> running
15776 ::: SearchProtocolHost.exe         --> running
15868 ::: chrome.exe                     --> running
15964 ::: cmd.exe                        --> running
16004 ::: msedgewebview2.exe             --> running

